A_id,B_id,label
2915,3068,TRUE
2954,1732,TRUE
2960,2331,TRUE
3017,1555,TRUE
3038,1997,TRUE
3071,67,TRUE
3080,2187,TRUE
3083,2971,TRUE
311,96,TRUE
3119,2002,TRUE
3140,1624,TRUE
3155,3076,TRUE
320,2095,TRUE
3212,1690,TRUE
3218,46,TRUE
3224,1069,TRUE
3230,2784,TRUE
3233,568,TRUE
362,1528,TRUE
434,1490,FALSE
5,1772,TRUE
554,2359,TRUE
566,1006,TRUE
59,2137,TRUE
605,2851,TRUE
608,2135,TRUE
680,1730,TRUE
692,1737,TRUE
71,2390,TRUE
734,2683,TRUE
752,1503,TRUE
755,2221,TRUE
761,229,TRUE
764,1427,TRUE
77,1136,TRUE
773,188,TRUE
779,590,TRUE
824,2323,TRUE
842,2507,TRUE
854,944,TRUE
860,618,TRUE
863,72,TRUE
869,682,TRUE
884,17,TRUE
887,1182,TRUE
908,1258,TRUE
917,1066,TRUE
953,2018,TRUE
98,2928,TRUE
980,708,TRUE
989,1530,TRUE
1017,2843,TRUE
1023,1946,TRUE
1032,2621,TRUE
1035,2562,TRUE
1038,771,TRUE
1044,2144,TRUE
1047,1290,TRUE
1053,601,TRUE
1062,405,TRUE
1080,2895,TRUE
1089,2441,TRUE
1092,1986,TRUE
1107,2995,TRUE
1110,2004,TRUE
1119,97,TRUE
1122,1212,TRUE
1140,1990,FALSE
1146,1721,TRUE
1173,334,TRUE
1185,1773,TRUE
1197,1754,TRUE
1212,176,TRUE
1254,1446,TRUE
1263,2207,TRUE
1350,1582,TRUE
1362,1623,TRUE
1398,183,TRUE
1446,1040,TRUE
1452,2619,TRUE
1473,2108,TRUE
1476,1194,TRUE
1512,2338,TRUE
1533,1312,TRUE
1545,2509,TRUE
1581,844,TRUE
1587,2581,TRUE
1596,1873,TRUE
1608,1525,TRUE
1611,2427,TRUE
162,2511,TRUE
1626,572,TRUE
1659,155,TRUE
1713,3056,TRUE
1722,2360,TRUE
1740,2020,TRUE
1752,1437,TRUE
1761,836,TRUE
1764,1070,TRUE
1773,2899,TRUE
1788,429,TRUE
1797,37,TRUE
18,710,TRUE
1812,3045,TRUE
1815,1681,TRUE
1833,2070,TRUE
1857,2013,TRUE
1887,1653,TRUE
1920,2053,TRUE
1935,2802,TRUE
1995,2871,TRUE
2001,699,TRUE
2004,2388,TRUE
2019,442,TRUE
2025,1072,TRUE
2043,952,TRUE
2052,1263,TRUE
2058,531,TRUE
2064,2736,TRUE
2085,919,TRUE
2103,225,TRUE
2124,2039,TRUE
216,2313,TRUE
2178,282,TRUE
2184,199,TRUE
2244,2233,TRUE
225,1538,TRUE
2286,1826,TRUE
2298,3075,TRUE
2316,1661,TRUE
2331,2075,TRUE
2346,679,TRUE
2403,669,TRUE
2418,2949,TRUE
2451,2171,TRUE
2475,1577,TRUE
2496,2834,TRUE
2502,1192,TRUE
2508,2600,TRUE
2511,2341,TRUE
2532,1652,TRUE
2535,2371,TRUE
2547,1198,TRUE
2553,2740,TRUE
2568,1570,TRUE
2583,1185,TRUE
2586,1398,TRUE
2589,2502,TRUE
2622,895,TRUE
2652,472,TRUE
2661,2341,TRUE
2667,344,TRUE
2670,2947,TRUE
2673,2710,TRUE
2682,1630,TRUE
2685,2777,TRUE
2688,2131,FALSE
2688,2209,TRUE
2691,2334,TRUE
2694,971,TRUE
2700,3063,TRUE
2703,216,TRUE
2712,644,TRUE
2715,2407,TRUE
2721,226,TRUE
2724,2518,TRUE
2733,224,TRUE
2736,131,TRUE
2739,2651,TRUE
2742,1677,TRUE
2748,2131,TRUE
2748,2209,FALSE
2781,1457,TRUE
2802,2950,TRUE
2826,1491,TRUE
2829,1527,TRUE
2838,2554,TRUE
2883,1866,TRUE
2901,286,TRUE
2925,905,TRUE
2937,2958,TRUE
2943,700,TRUE
2952,2510,TRUE
2967,921,TRUE
2982,230,TRUE
3024,1163,TRUE
3051,2324,TRUE
3057,1,TRUE
3081,834,TRUE
3093,465,TRUE
3099,702,TRUE
3117,858,TRUE
3144,504,TRUE
3150,1056,TRUE
3156,1523,TRUE
3171,659,TRUE
3174,2771,TRUE
3186,1682,TRUE
3195,257,TRUE
3207,2618,TRUE
3210,2534,TRUE
345,2672,TRUE
378,2717,TRUE
438,2856,TRUE
447,941,TRUE
45,576,TRUE
459,422,TRUE
474,812,TRUE
498,2904,TRUE
501,2392,TRUE
519,932,FALSE
522,2493,TRUE
528,2411,TRUE
534,1037,TRUE
579,1906,TRUE
60,1154,TRUE
600,2437,TRUE
63,145,TRUE
633,1184,TRUE
636,2888,FALSE
657,1445,TRUE
666,380,TRUE
711,3098,TRUE
741,497,TRUE
768,773,TRUE
774,1809,TRUE
786,1349,TRUE
819,1744,TRUE
825,2761,TRUE
849,1155,TRUE
855,3057,TRUE
864,2495,TRUE
870,2206,TRUE
873,1613,TRUE
891,846,TRUE
894,1934,TRUE
927,1921,TRUE
930,2435,TRUE
930,1405,TRUE
936,1197,TRUE
96,87,FALSE
963,828,TRUE
1009,1645,TRUE
1021,1535,TRUE
1033,2201,TRUE
1039,915,TRUE
1051,2710,FALSE
1090,2991,TRUE
1117,584,TRUE
112,2865,TRUE
1126,56,TRUE
1135,2710,FALSE
1144,1686,TRUE
1195,2007,TRUE
1198,2956,TRUE
1204,2028,TRUE
1213,361,TRUE
1222,2381,TRUE
1246,1245,TRUE
1282,861,TRUE
1288,1137,TRUE
1327,29,TRUE
1345,2768,TRUE
